iter	RMSE
0	310.0761126
1	290.7477068
2	274.7672364
3	259.0418033
4	245.4404201
5	234.006716
6	223.5473895
7	214.2829167
8	206.7061354
9	199.8438628
10	193.6139807
11	188.5402877
12	184.1164819
13	179.796851
14	176.3596682
15	173.1226731
16	169.927397
17	167.1361342
18	164.5557232
19	162.4591595
20	160.9773204
21	159.1050532
22	157.8273429
23	156.7748357
24	154.9118332
25	153.9804492
26	153.0467437
27	152.0692581
28	150.9398736
29	149.513246
30	149.0855468
31	148.5227528
32	147.8973424
33	147.2799594
34	146.4018155
35	145.9243011
36	145.5370871
37	145.2299607
38	144.8882894
39	144.6698075
40	143.9781906
41	143.7422444
42	143.5485471
43	143.2968862
44	142.8411129
45	142.4249596
46	142.0757513
47	141.8426217
48	141.487913
49	140.8024865
50	140.3231767
51	139.6665192
52	139.1587577
53	138.4233153
54	138.4005608
55	138.2591875
56	138.1531806
57	137.5926345
58	137.4416374
59	136.7833624
60	136.612359
61	135.9233303
62	135.3941212
63	134.6270753
64	134.1152133
65	133.9725557
66	133.4815857
67	132.9771346
68	132.7129955
69	132.5483954
70	132.2394497
71	132.0078732
72	131.735079
73	131.2620458
74	131.0790605
75	130.7440187
76	130.3869043
77	130.2951169
78	129.9429147
79	129.6953036
80	129.5081463
81	129.2260626
82	128.9280003
83	128.8148895
84	128.3366361
85	127.982945
86	127.5969568
87	127.3327473
88	127.2175248
89	126.9680266
90	126.7631935
91	126.6382619
92	126.6231159
93	126.4623046
94	126.2250073
95	126.0953164
96	125.7651475
97	125.3610333
98	125.1472286
99	125.0634907
100	124.6716292
101	124.427825
102	124.4212223
103	124.3969954
104	124.1360203
105	124.0345811
106	123.8839459
107	123.7772315
108	123.4657877
109	123.2966214
110	122.6758373
111	122.340422
112	122.1762553
113	122.1551223
114	122.1439331
115	121.8069503
116	121.7066947
117	121.5477241
118	121.4388637
119	121.329426
120	121.2625851
121	121.2494924
122	121.1902963
123	120.8828329
124	120.6973015
125	120.3079865
126	120.1903244
127	120.0947363
128	119.9035072
129	119.8610194
130	119.8445307
131	119.5587866
132	119.3916106
133	119.1850196
134	119.0988174
135	119.0427657
136	118.8225263
137	118.807444
138	118.6347346
139	118.3107659
140	118.2351212
141	117.7696179
142	117.6041871
143	117.4857182
144	117.350605
145	117.035794
146	116.998374
147	116.9789384
148	116.9275603
149	116.851507
150	116.8261656
151	116.6669786
152	116.4620699
153	116.3617575
154	116.2607718
155	116.09415
156	115.9992773
157	115.6413767
158	115.4875181
159	115.2653887
160	114.9348292
161	114.8242291
162	114.8121088
163	114.6218505
164	114.5151121
165	114.3804933
166	114.2030309
167	114.1110652
168	113.9491155
169	113.8847374
170	113.8651543
171	113.7508439
172	113.7394174
173	113.691304
174	113.6751587
175	113.5633206
176	113.5443395
177	113.3834864
