iter	Passed	Remaining
0	241	482077
1	332	332448
2	434	289057
3	548	273804
4	667	266322
5	752	250234
6	844	240530
7	935	233044
8	1030	228026
9	1125	223977
10	1221	220909
11	1312	217400
12	1402	214337
13	1491	211553
14	1581	209325
15	1667	206824
16	1766	206052
17	1896	208815
18	1985	206965
19	2073	205298
20	2153	202912
21	2224	200006
22	2296	197381
23	2399	197534
24	2488	196621
25	2565	194811
26	2649	193639
27	2731	192346
28	2813	191231
29	2891	189856
30	2972	188789
31	3056	187948
32	3143	187372
33	3237	187231
34	3338	187449
35	3425	186881
36	3516	186579
37	3597	185734
38	3688	185459
39	3767	184608
40	3865	184699
41	3957	184493
42	4038	183781
43	4133	183745
44	4225	183579
45	4316	183349
46	4406	183105
47	4491	182660
48	4591	182817
49	4679	182490
50	4769	182271
51	4860	182080
52	4953	181986
53	5036	181509
54	5101	180400
55	5179	179812
56	5273	179747
57	5368	179749
58	5468	179918
59	5571	180134
60	5658	179867
61	5746	179619
62	5833	179355
63	5930	179388
64	6012	178999
65	6095	178618
66	6175	178158
67	6252	177648
68	6341	177470
69	6455	177980
70	6530	177434
71	6617	177198
72	6696	176762
73	6783	176562
74	6872	176404
75	6968	176403
76	7046	175982
77	7134	175795
78	7223	175648
79	7311	175485
80	7394	175178
81	7474	174825
82	7542	174201
83	7627	173981
84	7707	173652
85	7795	173495
86	7883	173356
87	7971	173189
88	8063	173140
89	8153	173042
90	8241	172892
91	8329	172750
92	8418	172616
93	8496	172270
94	8590	172267
95	8669	171951
96	8759	171855
97	8850	171764
98	8939	171665
99	9024	171467
100	9115	171384
101	9213	171436
102	9308	171446
103	9403	171440
104	9486	171209
105	9575	171101
106	9654	170811
107	9744	170712
108	9825	170460
109	9918	170415
110	10001	170209
111	10101	170277
112	10184	170071
113	10263	169792
114	10343	169551
115	10450	169737
116	10536	169567
117	10630	169550
118	10711	169312
119	10804	169266
120	10890	169113
121	10980	169023
122	11042	168517
123	11135	168470
124	11229	168439
125	11320	168371
126	11407	168241
127	11493	168092
128	11583	167999
129	11668	167841
130	11746	167589
131	11830	167419
132	11919	167327
133	12002	167144
134	12087	166988
135	12179	166931
136	12266	166805
137	12349	166629
138	12441	166578
139	12528	166444
140	12615	166321
141	12698	166154
142	12783	166008
143	12872	165918
144	12961	165811
145	13066	165922
146	13157	165855
147	13241	165691
148	13325	165541
149	13426	165594
150	13503	165347
151	13615	165539
152	13706	165460
153	13796	165380
154	13891	165350
155	14002	165512
156	14092	165433
157	14185	165382
158	14275	165293
159	14381	165391
160	14478	165380
161	14565	165253
162	14654	165153
163	14740	165020
164	14823	164853
165	14919	164832
166	14990	164536
167	15071	164353
168	15151	164160
169	15249	164158
170	15327	163939
171	15416	163847
172	15502	163719
173	15594	163656
174	15677	163497
175	15770	163438
176	15830	163042
177	15905	162807
178	15992	162697
179	16081	162605
180	16165	162454
181	16253	162360
182	16345	162298
183	16440	162257
184	16529	162167
185	16630	162193
186	16714	162053
187	16804	161970
188	16893	161878
189	16983	161792
190	17079	161766
191	17172	161710
192	17255	161555
193	17339	161418
194	17431	161353
195	17507	161141
196	17599	161072
197	17687	160971
198	17768	160812
199	17864	160781
200	17957	160721
201	18049	160656
202	18136	160545
203	18230	160503
204	18318	160396
205	18424	160455
206	18511	160346
207	18593	160187
208	18674	160028
209	18771	160002
210	18857	159888
211	18947	159804
212	19022	159593
213	19110	159493
214	19198	159391
215	19302	159426
216	19394	159352
217	19492	159333
218	19580	159234
219	19682	159251
220	19772	159161
221	19866	159113
222	19952	158994
223	20040	158896
224	20103	158591
225	20198	158550
226	20286	158449
227	20376	158365
228	20462	158250
229	20540	158076
230	20630	157986
231	20724	157931
232	20810	157822
233	20901	157745
234	20985	157617
235	21048	157325
236	21136	157231
237	21222	157116
238	21307	157000
239	21397	156912
240	21489	156846
241	21574	156724
242	21665	156653
243	21755	156568
244	21837	156430
245	21920	156296
246	22004	156171
247	22085	156025
248	22173	155925
249	22257	155804
250	22338	155654
251	22432	155600
252	22520	155504
253	22618	155481
254	22723	155497
255	22812	155412
256	22903	155335
257	23005	155334
258	23110	155347
259	23227	155443
260	23331	155450
261	23421	155366
262	23508	155262
263	23599	155181
264	23704	155199
265	23804	155177
266	23883	155020
267	23977	154961
268	24039	154691
269	24152	154756
270	24253	154741
271	24340	154633
272	24469	154796
273	24562	154728
274	24654	154652
275	24741	154546
276	24848	154565
277	24948	154538
278	25042	154473
279	25140	154435
280	25219	154278
281	25307	154175
282	25406	154142
283	25506	154118
284	25581	153934
285	25672	153857
286	25742	153646
287	25831	153554
288	25914	153423
289	26003	153332
290	26089	153221
291	26188	153182
292	26287	153148
293	26377	153062
294	26465	152960
295	26550	152843
296	26639	152750
297	26728	152659
298	26818	152571
299	26900	152435
300	26996	152382
301	27099	152368
302	27221	152460
303	27309	152355
304	27401	152277
305	27488	152176
306	27583	152112
307	27664	151973
308	27749	151858
309	27830	151723
310	27916	151610
311	28005	151518
312	28091	151406
313	28174	151281
314	28273	151238
315	28352	151096
316	28446	151025
317	28528	150896
318	28629	150866
319	28714	150749
320	28800	150641
321	28885	150527
322	28981	150472
323	29065	150353
324	29151	150244
325	29246	150178
326	29342	150121
327	29411	149928
328	29502	149845
329	29589	149741
330	29685	149685
331	29772	149577
332	29862	149491
333	29956	149422
334	30061	149412
335	30167	149399
336	30262	149339
337	30349	149235
338	30441	149154
339	30534	149080
340	30624	148989
341	30710	148883
342	30793	148761
343	30879	148652
344	30969	148561
345	31054	148452
346	31144	148364
347	31237	148287
348	31336	148243
349	31417	148112
350	31516	148064
351	31601	147950
352	31700	147907
353	31781	147774
354	31879	147721
355	31973	147653
356	32072	147606
357	32161	147511
358	32253	147432
359	32346	147356
360	32431	147244
361	32523	147166
362	32612	147070
363	32701	146977
364	32795	146905
365	32887	146827
366	32984	146766
367	33076	146687
368	33163	146584
369	33253	146494
370	33333	146361
371	33397	146158
372	33484	146056
373	33566	145935
374	33650	145820
375	33738	145723
376	33822	145605
377	33911	145513
378	34007	145453
379	34086	145315
380	34178	145235
381	34272	145164
382	34356	145049
383	34449	144975
384	34544	144907
385	34629	144798
386	34724	144730
387	34812	144634
388	34902	144544
389	34991	144453
390	35068	144309
391	35138	144140
392	35236	144085
393	35326	143997
394	35412	143893
395	35505	143816
396	35590	143707
397	35668	143570
398	35760	143488
399	35849	143399
400	35937	143302
401	36033	143238
402	36109	143094
403	36194	142985
404	36281	142886
405	36376	142817
406	36476	142769
407	36567	142684
408	36654	142585
409	36756	142543
410	36837	142420
411	36935	142362
412	37029	142288
413	37132	142250
414	37215	142137
415	37307	142056
416	37396	141963
417	37499	141925
418	37586	141822
419	37664	141692
420	37755	141604
421	37850	141536
422	37925	141389
423	38020	141320
424	38106	141218
425	38193	141118
426	38285	141037
427	38366	140915
428	38439	140767
429	38528	140675
430	38631	140634
431	38719	140538
432	38808	140445
433	38902	140372
434	38998	140306
435	39077	140177
436	39174	140112
437	39260	140010
438	39355	139940
439	39455	139886
440	39544	139795
441	39632	139699
442	39721	139607
443	39819	139548
444	39887	139383
445	39975	139285
446	40075	139234
447	40171	139164
448	40262	139081
449	40354	139000
450	40459	138962
451	40580	138979
452	40673	138901
453	40783	138878
454	40900	138880
455	40989	138788
456	41094	138749
457	41208	138741
458	41321	138730
459	41426	138688
460	41540	138677
461	41637	138612
462	41743	138572
463	41865	138588
464	41953	138492
465	42051	138426
466	42162	138404
467	42266	138360
468	42384	138359
469	42487	138311
470	42565	138180
471	42671	138140
472	42771	138081
473	42889	138079
474	42987	138013
475	43093	137972
476	43202	137941
477	43311	137909
478	43420	137874
479	43526	137835
480	43621	137756
481	43725	137707
482	43813	137607
483	43901	137508
484	43987	137403
485	44081	137325
486	44169	137225
487	44261	137138
488	44349	137037
489	44441	136952
490	44531	136860
491	44616	136752
492	44701	136643
493	44797	136568
494	44883	136463
495	44974	136375
496	45064	136282
497	45152	136182
498	45232	136059
499	45314	135943
500	45401	135841
501	45486	135734
502	45582	135660
503	45657	135522
504	45745	135424
505	45841	135349
506	45946	135300
507	46045	135235
508	46139	135154
509	46229	135062
510	46336	135018
511	46421	134912
512	46514	134828
513	46598	134719
514	46692	134636
515	46780	134538
516	46861	134421
517	46947	134316
518	47033	134212
519	47122	134119
520	47210	134020
521	47302	133933
522	47395	133849
523	47486	133759
524	47574	133662
525	47656	133546
526	47741	133439
527	47845	133386
528	47929	133277
529	48013	133170
530	48088	133035
531	48177	132941
532	48267	132847
533	48351	132739
534	48436	132634
535	48525	132541
536	48612	132440
537	48709	132367
538	48804	132287
539	48890	132184
540	48976	132083
541	49058	131968
542	49142	131859
543	49234	131775
544	49295	131605
545	49385	131513
546	49473	131416
547	49559	131313
548	49631	131174
549	49726	131098
550	49822	131021
551	49910	130924
552	49997	130824
553	50084	130725
554	50177	130642
555	50263	130541
556	50342	130419
557	50440	130350
558	50526	130248
559	50610	130141
560	50700	130049
561	50790	129959
562	50877	129860
563	50979	129799
564	51069	129706
565	51166	129632
566	51247	129519
567	51328	129404
568	51416	129310
569	51501	129206
570	51579	129084
571	51665	128982
572	51790	128978
573	51883	128894
574	51968	128791
575	52048	128676
576	52140	128588
577	52212	128454
578	52309	128379
579	52408	128310
580	52517	128265
581	52606	128171
582	52691	128069
583	52783	127981
584	52857	127851
585	52946	127757
586	53039	127674
587	53132	127590
588	53224	127502
589	53313	127411
590	53410	127335
591	53501	127247
592	53587	127145
593	53685	127074
594	53770	126970
595	53865	126891
596	53946	126779
597	54029	126671
598	54113	126564
599	54206	126482
600	54296	126390
601	54390	126308
602	54477	126210
603	54563	126110
604	54656	126026
605	54760	125967
606	54859	125896
607	54946	125798
608	55021	125671
609	55111	125582
610	55201	125490
611	55288	125393
612	55389	125326
613	55526	125340
614	55624	125269
615	55721	125192
616	55807	125091
617	55899	125004
618	55979	124890
619	56046	124748
620	56109	124597
621	56202	124512
622	56263	124358
623	56348	124255
624	56440	124168
625	56553	124128
626	56649	124050
627	56735	123950
628	56815	123837
629	56904	123745
630	56992	123648
631	57072	123537
632	57166	123454
633	57247	123343
634	57332	123242
635	57421	123149
636	57510	123056
637	57604	122973
638	57700	122896
639	57765	122752
640	57856	122663
641	57945	122569
642	58036	122480
643	58124	122386
644	58214	122296
645	58305	122206
646	58399	122124
647	58482	122018
648	58567	121918
649	58662	121837
650	58743	121728
651	58837	121644
652	58906	121512
653	58994	121416
654	59074	121305
655	59164	121214
656	59253	121122
657	59340	121026
658	59433	120940
659	59527	120858
660	59614	120761
661	59697	120657
662	59789	120570
663	59890	120503
664	59985	120422
665	60078	120337
666	60164	120238
667	60253	120145
668	60342	120054
669	60432	119962
670	60513	119853
671	60594	119746
672	60687	119661
673	60772	119561
674	60863	119473
675	60943	119363
676	61033	119271
677	61126	119187
678	61213	119090
679	61309	119012
680	61408	118938
681	61497	118846
682	61590	118761
683	61680	118671
684	61763	118568
685	61847	118466
686	61927	118355
687	62018	118267
688	62101	118164
689	62196	118083
690	62285	117990
691	62364	117879
692	62465	117811
693	62550	117710
694	62645	117628
695	62738	117543
696	62821	117441
697	62907	117342
698	63002	117261
699	63091	117170
700	63177	117072
701	63262	116972
702	63343	116865
703	63437	116782
704	63528	116693
705	63619	116605
706	63712	116520
707	63797	116420
708	63873	116306
709	63964	116217
710	64047	116114
711	64144	116035
712	64226	115932
713	64315	115840
714	64408	115754
715	64515	115694
716	64602	115599
717	64687	115499
718	64774	115404
719	64855	115298
720	64941	115201
721	65034	115116
722	65129	115034
723	65219	114945
724	65280	114803
725	65372	114716
726	65466	114634
727	65547	114528
728	65638	114439
729	65724	114342
730	65802	114232
731	65897	114150
732	65975	114039
733	66061	113942
734	66147	113846
735	66229	113742
736	66309	113634
737	66398	113542
738	66479	113438
739	66565	113341
740	66653	113248
741	66740	113153
742	66819	113044
743	66903	112944
744	66964	112805
745	67031	112677
746	67121	112588
747	67216	112506
748	67306	112416
749	67402	112337
750	67503	112265
751	67597	112182
752	67685	112090
753	67785	112016
754	67876	111928
755	67965	111836
756	68044	111730
757	68136	111643
758	68236	111569
759	68331	111487
760	68421	111398
761	68511	111309
762	68601	111218
763	68689	111125
764	68772	111025
765	68861	110934
766	68952	110845
767	69040	110752
768	69120	110647
769	69212	110559
770	69293	110456
771	69381	110362
772	69477	110283
773	69563	110187
774	69643	110081
775	69732	109991
776	69827	109908
777	69918	109820
778	69998	109715
779	70085	109620
780	70172	109527
781	70253	109422
782	70342	109331
783	70442	109258
784	70531	109166
785	70618	109072
786	70704	108976
787	70797	108891
788	70881	108792
789	70968	108698
790	71044	108588
791	71132	108495
792	71226	108411
793	71314	108318
794	71402	108225
795	71499	108147
796	71583	108049
797	71680	107970
798	71761	107866
799	71846	107769
800	71935	107678
801	72025	107589
802	72117	107502
803	72212	107420
804	72289	107312
805	72380	107224
806	72471	107136
807	72553	107033
808	72638	106937
809	72725	106843
810	72808	106743
811	72894	106649
812	72982	106555
813	73055	106441
814	73140	106345
815	73236	106265
816	73331	106182
817	73427	106101
818	73513	106006
819	73598	105910
820	73691	105824
821	73777	105729
822	73881	105659
823	73968	105566
824	74060	105479
825	74145	105383
826	74230	105287
827	74312	105186
828	74390	105079
829	74481	104991
830	74564	104893
831	74656	104806
832	74743	104712
833	74836	104627
834	74928	104541
835	75021	104455
836	75107	104360
837	75199	104273
838	75284	104177
839	75369	104082
840	75449	103978
841	75547	103900
842	75628	103798
843	75712	103701
844	75800	103608
845	75894	103524
846	75982	103433
847	76066	103335
848	76158	103249
849	76237	103144
850	76321	103047
851	76408	102953
852	76506	102875
853	76603	102796
854	76696	102710
855	76785	102620
856	76864	102515
857	76947	102417
858	77042	102334
859	77132	102245
860	77223	102157
861	77307	102059
862	77391	101963
863	77480	101871
864	77569	101782
865	77655	101687
866	77736	101586
867	77822	101491
868	77916	101407
869	78024	101341
870	78107	101243
871	78195	101151
872	78289	101068
873	78379	100978
874	78459	100876
875	78544	100780
876	78627	100683
877	78719	100596
878	78804	100499
879	78890	100406
880	78978	100314
881	79061	100216
882	79146	100120
883	79239	100035
884	79332	99950
885	79418	99855
886	79512	99771
887	79620	99704
888	79709	99614
889	79807	99534
890	79902	99451
891	79989	99359
892	80078	99268
893	80165	99175
894	80257	99088
895	80335	98985
896	80412	98879
897	80509	98799
898	80599	98709
899	80685	98615
900	80767	98517
901	80859	98429
902	80943	98333
903	81033	98244
904	81124	98156
905	81214	98066
906	81309	97984
907	81404	97899
908	81490	97806
909	81575	97711
910	81660	97615
911	81756	97533
912	81848	97446
913	81935	97354
914	82024	97263
915	82094	97150
916	82185	97063
917	82278	96977
918	82370	96890
919	82483	96828
920	82570	96735
921	82660	96646
922	82741	96546
923	82825	96450
924	82907	96352
925	82991	96256
926	83071	96155
927	83179	96086
928	83266	95994
929	83356	95904
930	83449	95819
931	83550	95742
932	83641	95654
933	83738	95573
934	83825	95480
935	83908	95382
936	83978	95270
937	84066	95179
938	84150	95083
939	84240	94994
940	84320	94894
941	84411	94805
942	84504	94720
943	84590	94626
944	84675	94531
945	84767	94444
946	84853	94351
947	84942	94261
948	85024	94162
949	85141	94104
950	85254	94040
951	85368	93976
952	85462	93892
953	85547	93797
954	85631	93701
955	85728	93619
956	85818	93530
957	85915	93449
958	86005	93359
959	86098	93273
960	86165	93158
961	86255	93070
962	86322	92955
963	86413	92868
964	86501	92776
965	86597	92693
966	86688	92605
967	86784	92522
968	86875	92434
969	86959	92338
970	87042	92241
971	87127	92146
972	87216	92056
973	87321	91982
974	87407	91889
975	87495	91799
976	87582	91706
977	87668	91612
978	87757	91522
979	87842	91427
980	87921	91327
981	88004	91231
982	88102	91149
983	88189	91057
984	88275	90964
985	88373	90882
986	88465	90796
987	88567	90718
988	88659	90631
989	88763	90556
990	88858	90472
991	88952	90386
992	89053	90309
993	89148	90224
994	89233	90130
995	89324	90041
996	89404	89942
997	89507	89866
998	89590	89770
999	89671	89671
1000	89762	89583
1001	89851	89493
1002	89952	89414
1003	90055	89338
1004	90146	89249
1005	90238	89162
1006	90326	89070
1007	90407	88972
1008	90502	88887
1009	90603	88809
1010	90695	88722
1011	90782	88629
1012	90859	88527
1013	90941	88429
1014	91029	88339
1015	91113	88243
1016	91194	88145
1017	91289	88060
1018	91359	87952
1019	91451	87864
1020	91544	87778
1021	91627	87682
1022	91716	87592
1023	91802	87499
1024	91889	87406
1025	91984	87322
1026	92081	87240
1027	92172	87151
1028	92252	87052
1029	92346	86967
1030	92433	86874
1031	92524	86786
1032	92608	86691
1033	92694	86598
1034	92796	86520
1035	92898	86441
1036	93014	86377
1037	93118	86300
1038	93204	86207
1039	93288	86112
1040	93392	86035
1041	93467	85932
1042	93558	85843
1043	93654	85760
1044	93739	85666
1045	93838	85585
1046	93946	85511
1047	94036	85422
1048	94129	85335
1049	94211	85239
1050	94306	85154
1051	94389	85057
1052	94484	84973
1053	94577	84886
1054	94664	84794
1055	94736	84688
1056	94823	84596
1057	94907	84502
1058	94999	84414
1059	95081	84317
1060	95164	84221
1061	95239	84119
1062	95320	84021
1063	95417	83938
1064	95524	83864
1065	95610	83770
1066	95692	83674
1067	95774	83578
1068	95862	83487
1069	95944	83390
1070	96006	83277
1071	96095	83187
1072	96195	83106
1073	96284	83016
1074	96371	82924
1075	96463	82837
1076	96559	82752
1077	96631	82647
1078	96721	82558
1079	96812	82469
1080	96897	82375
1081	96984	82284
1082	97074	82195
1083	97162	82104
1084	97251	82013
1085	97346	81928
1086	97459	81858
1087	97537	81759
1088	97630	81672
1089	97724	81586
1090	97806	81490
1091	97890	81395
1092	97975	81302
1093	98066	81214
1094	98157	81125
1095	98253	81041
1096	98348	80955
1097	98440	80867
1098	98524	80773
1099	98616	80686
1100	98701	80592
1101	98793	80505
1102	98888	80419
1103	98971	80324
1104	99065	80238
1105	99154	80148
1106	99241	80056
1107	99321	79958
1108	99410	79868
1109	99502	79781
1110	99592	79691
1111	99671	79593
1112	99757	79501
1113	99847	79412
1114	99943	79327
1115	100023	79229
1116	100120	79146
1117	100211	79057
1118	100302	78969
1119	100401	78886
1120	100513	78814
1121	100628	78744
1122	100718	78655
1123	100808	78565
1124	100887	78467
1125	100977	78378
1126	101100	78314
1127	101198	78231
1128	101325	78170
1129	101426	78089
1130	101522	78004
1131	101634	77931
1132	101748	77860
1133	101852	77781
1134	101972	77714
1135	102080	77638
1136	102173	77551
1137	102272	77468
1138	102379	77391
1139	102492	77319
